series_title  released_year  certificate  runtime  genre  imdb_rating  overview  meta_score  director  star_1  star_2  star_3  star_4  no_of_votes  gross  
Schindler's List  1993  A  195 min  Biography, Drama, History  8.9  In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.  94  Steven Spielberg  Liam Neeson  Ralph Fiennes  Ben Kingsley  Caroline Goodall  1213505  96,898,818
Saving Private Ryan  1998  R  169 min  Drama, War  8.6  Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.  91  Steven Spielberg  Tom Hanks  Matt Damon  Tom Sizemore  Edward Burns  1235804  216,540,909
Raiders of the Lost Ark  1981  A  115 min  Action, Adventure  8.4  In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.  85  Steven Spielberg  Harrison Ford  Karen Allen  Paul Freeman  John Rhys-Davies  884112  248,159,971
Indiana Jones and the Last Crusade  1989  U  127 min  Action, Adventure  8.2  In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry "Indiana" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.  65  Steven Spielberg  Harrison Ford  Sean Connery  Alison Doody  Denholm Elliott  692366  197,171,806
Catch Me If You Can  2002  A  141 min  Biography, Crime, Drama  8.1  Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.  75  Steven Spielberg  Leonardo DiCaprio  Tom Hanks  Christopher Walken  Martin Sheen  832846  164,615,351
Jurassic Park  1993  UA  127 min  Action, Adventure, Sci-Fi  8.1  A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.  68  Steven Spielberg  Sam Neill  Laura Dern  Jeff Goldblum  Richard Attenborough  867615  402,453,882
Jaws  1975  A  124 min  Adventure, Thriller  8  When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.  87  Steven Spielberg  Roy Scheider  Robert Shaw  Richard Dreyfuss  Lorraine Gary  543388  260,000,000
E.T. the Extra-Terrestrial  1982  U  115 min  Family, Sci-Fi  7.8  A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.  91  Steven Spielberg  Henry Thomas  Drew Barrymore  Peter Coyote  Dee Wallace  372490  435,110,554
Bridge of Spies  2015  UA  142 min  Drama, History, Thriller  7.6  During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.  81  Steven Spielberg  Tom Hanks  Mark Rylance  Alan Alda  Amy Ryan  287659  72,313,754
Minority Report  2002  A  145 min  Action, Crime, Mystery  7.6  In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.  80  Steven Spielberg  Tom Cruise  Colin Farrell  Samantha Morton  Max von Sydow  508417  132,072,926
